Trail ID,MS Dynamics case number,Resolution Category,Missed TAT Reason,Country,Status
2992820,CAS-3294783-N3M8Z6,Change Request Implemented,1,Japan,COMPLETED,
2990495,CAS-3295002-B6T5M1,Change Request Implemented,,Singapore,COMPLETED,
2990705,CAS-3295574-X7N2W7,Change Request Implemented,,Singapore,COMPLETED,
2993538,CAS-3295655-G2M0D4,Change Request Implemented, ,United States,COMPLETED,
2942496,CAS-3295750-Q5K9T0,Change Request Implemented,,Korea, South,COMPLETED,
2994662,CAS-3295775-J0H9V3,Change Request Implemented,,Malaysia,COMPLETED,
2995938,CAS-3296081-R1Z0C5,Change Request Implemented, ,Turkey,COMPLETED,
2994867,CAS-3296281-G0G2N3,Change Request Implemented,,India,COMPLETED,
2995988,CAS-3297207-H4W6Y5,Change Request Implemented,Bo delay,United Arab Emirates,COMPLETED,
2996003,CAS-3297506-X7B8Z9,Change Request Implemented, ,United Arab Emirates,COMPLETED,
2996035,CAS-3301642-N6H6J3,Change Request Implemented,,Spain,COMPLETED,
2993540,CAS-3298674-S2H8Q5,Change Request Implemented, ,United States,COMPLETED,
2993541,CAS-3298698-D5B0Y5,Change Request Implemented, ,United States,COMPLETED,
2993542,CAS-3298886-G0Y4R2,Change Request Implemented, ,United States,COMPLETED,
2993543,CAS-3298930-C5S5W5,Change Request Implemented, ,United States,COMPLETED,
2993497,CAS-3299229-G9Q9Y7,Change Request Implemented, ,United States,COMPLETED,
2996060,CAS-3299392-N8J5V7,Change Request Implemented, ,United States,COMPLETED,
225072,CAS-3299721-R1K3T7,Change Request Implemented,,United States,COMPLETED,
2993501,CAS-3299818-X7Q2N5,Change Request Implemented,,United States,COMPLETED,
2996079,CAS-3299880-G3W6B8,Change Request Implemented, ,Belgium,COMPLETED,
2994889,CAS-3299881-T2H4W0,Change Request Implemented,QUERY LOGGED,Malaysia,COMPLETED,
2994890,CAS-3299884-W5R9B4,Change Request Implemented,Query logged for discount approval,Malaysia,COMPLETED,
2993548,CAS-3299885-S2G6Z4,Change Request Implemented, ,United States,COMPLETED,
2992822,CAS-3299915-W6X6W1,Change Request Implemented,1,Japan,COMPLETED,
2991717,CAS-3299928-H8P2S8,Change Request Implemented,,China,COMPLETED,
2994909,CAS-3299936-Q1C4Q0,Change Request Implemented,QUERY RAISED FOR FUTURE COVERAGE APPROVAL,Thailand,COMPLETED,
2991728,CAS-3299944-W0S9C0,Change Request Implemented,,Hong Kong,COMPLETED,
2991749,CAS-3299972-M7P4S6,Change Request Implemented,1,Japan,COMPLETED,
2994919,CAS-3299983-Q4H6Q6,Change Request Implemented,,India,COMPLETED,
2991778,CAS-3299994-N1K2B9,Change Request Implemented,,Hong Kong,COMPLETED,
2992829,CAS-3300010-H7G6B5,Change Request Implemented,1,Japan,COMPLETED,
2992996,CAS-3300259-B0S7F5,Change Request Implemented,1,Japan,COMPLETED,
2990708,CAS-3300313-J4N9W6,Change Request Implemented,,Australia,COMPLETED,
2994929,CAS-3300427-F2S4Q9,Change Request Implemented,,India,COMPLETED,
2996143,CAS-3300920-M8R5T6,Change Request Implemented,Bo delay,Turkey,COMPLETED,
2996146,CAS-3300837-T7K2K2,Change Request Implemented, ,French Polynesia,COMPLETED,
225073,CAS-3303389-Z0L8N3,Change Request Implemented,,United States,COMPLETED,
2996221,CAS-3303429-F9J9T3,Change Request Implemented, ,France,COMPLETED,
225074,CAS-3303454-J6D6Z9,Change Request Implemented,,Canada,COMPLETED,
225075,CAS-3303520-P3G2X4,Change Request Implemented,,Canada,COMPLETED,
2993502,CAS-3303696-W9P4G0,Change Request Implemented,,United States,COMPLETED,
225076,CAS-3303761-M7P7V1,Change Request Implemented,,United States,COMPLETED,
225077,CAS-3303788-G0B8W4,Change Request Implemented,,United States,COMPLETED,
2984701,CAS-3303928-T7H6N2,Change Request Implemented,,Mexico,COMPLETED,
225078,CAS-3303954-Q4C7D3,Change Request Implemented,,United States,COMPLETED,
225080,CAS-3303976-C7C6S3,Change Request Implemented,,United States,COMPLETED,
225081,CAS-3303995-N5P3C6,Change Request Implemented,,United States,COMPLETED,
225082,CAS-3304060-N9H8Q8,Change Request Implemented,,United States,COMPLETED,
